time,delta_D,U,I,N,P
0.0,-0.1,0.5,0.9923806991647439,0.5,0.49679240415458914
0.1694915254237288,-0.1,0.5,1.25755159505469,0.5,0.4775922527577578
0.3389830508474576,-0.1,0.5,1.4256276060109032,0.5,0.4020987381703761
0.5084745762711864,-0.1,0.5,1.1689900497069319,0.5,0.4308385351156333
0.6779661016949152,-0.1,0.5,1.0619906464080118,0.5,0.46790983770726585
0.847457627118644,-0.1,0.5,1.303983583636775,0.5,0.47931935599138903
1.0169491525423728,-0.1,0.5,1.242504632942527,0.5,0.4130014240581545
1.1864406779661016,-0.1,0.5,1.3572558313130445,0.5,0.3826063582945967
1.3559322033898304,-0.1,0.5,0.9287820509728338,0.5,0.41178183401033264
1.5254237288135593,-0.1,0.5,1.2053844369392048,0.5,0.4345598825883091
1.694915254237288,-0.1,0.5,1.0722962056772585,0.5,0.467063191221418
1.8644067796610169,-0.1,0.5,1.3115635895928692,0.5,0.4714620478581449
2.0338983050847457,-0.1,0.5,1.2310222655242296,0.5,0.4390575170989497
2.2033898305084745,-0.1,0.5,1.3311470692217253,0.5,0.37133314382693094
2.3728813559322033,-0.1,0.5,1.0784702902279497,0.5,0.3931065781370236
2.542372881355932,-0.1,0.5,1.0045551843484462,0.5,0.44941937083383227
2.711864406779661,-0.1,0.5,1.1808622983917774,0.5,0.46980091776589916
2.8813559322033897,-0.1,0.5,1.2755482772698545,0.5,0.392286987045699
3.0508474576271185,-0.1,0.5,1.279462953577688,0.5,0.3546206900547298
3.2203389830508473,-0.1,0.5,0.9066737392434494,0.5,0.45117497156146463
3.389830508474576,-0.1,0.5,1.0939187885540833,0.5,0.4607351583150038
3.559322033898305,-0.1,0.5,1.3693866573609594,0.5,0.46724635042467505
3.7288135593220337,-0.1,0.5,1.1440516753288934,0.5,0.4491675701882031
3.8983050847457625,-0.1,0.5,1.3965906967439903,0.5,0.39026994799769954
4.067796610169491,-0.1,0.5,1.0622469935442564,0.5,0.34836189134847395
4.23728813559322,-0.1,0.5,1.110638667728212,0.5,0.3871153372782127
4.406779661016949,-0.1,0.5,0.863591976651892,0.5,0.40133491741482225
4.576271186440678,-0.1,0.5,1.290940134422752,0.5,0.3772573164234885
4.745762711864407,-0.1,0.5,0.9384545635144041,0.5,0.3548372406698464
4.915254237288135,-0.1,0.5,1.1704148373439298,0.5,0.4003672531228047
5.084745762711864,-0.1,0.5,0.8356409170762821,0.5,0.47960946815833266
5.254237288135593,-0.1,0.5,1.3814961171255997,0.5,0.48412170385029724
5.423728813559322,-0.1,0.5,1.2219811196856125,0.5,0.5120272877029445
5.59322033898305,-0.1,0.5,1.4002919859339387,0.5,0.42281882020177974
5.762711864406779,-0.1,0.5,1.3577990956592303,0.5,0.38928784127619354
5.932203389830509,-0.1,0.5,0.9749754319816938,0.5,0.4120630341844523
6.101694915254237,-0.1,0.5,1.1917690163592827,0.5,0.38674754568419517
6.271186440677965,-0.1,0.5,1.0870212196680824,0.5,0.3532121354615215
6.440677966101695,-0.1,0.5,1.0695153508848163,0.5,0.3517008293029291
6.610169491525424,-0.1,0.5,0.9271096980072506,0.5,0.364197172912385
6.779661016949152,-0.1,0.5,1.0599287246206548,0.5,0.3869461777778807
6.949152542372881,-0.1,0.5,0.9888203046614158,0.5,0.41162801867991217
7.11864406779661,-0.1,0.5,1.1670112917116233,0.5,0.46915064478530466
7.288135593220339,-0.1,0.5,1.1092923299858826,0.5,0.49289892365931576
7.4576271186440675,-0.1,0.5,1.4398296681572549,0.5,0.3656081428819352
7.627118644067796,-0.1,0.5,1.2278812950625988,0.5,0.30914421579577833
7.796610169491525,-0.1,0.5,0.830406143621248,0.5,0.43926099529035145
7.966101694915254,-0.1,0.5,0.952451831467809,0.5,0.532595659564748
8.135593220338983,-0.1,0.5,1.4517695412082765,0.5,0.42732929513408224
8.305084745762711,-0.1,0.5,1.4050852448616737,0.5,0.34748732720341285
8.47457627118644,-0.1,0.5,0.949952337981477,0.5,0.4547218887200085
8.64406779661017,-0.1,0.5,1.0174151277240169,0.5,0.4666679401832592
8.813559322033898,-0.1,0.5,1.4614867097297535,0.5,0.3588342490782427
8.983050847457626,-0.1,0.5,1.0817375394174782,0.5,0.3077687188564532
9.152542372881356,-0.1,0.5,0.9418522959444346,0.5,0.38226049078366714
9.322033898305085,-0.1,0.5,0.8363317748635485,0.5,0.3873651222815888
9.491525423728813,-0.1,0.5,1.2946347503533955,0.5,0.35822889536138486
9.661016949152541,-0.1,0.5,0.8683304980145818,0.5,0.3481444458323681
9.83050847457627,-0.1,0.5,1.1487914687300798,0.5,0.0
